document	label
모밀은 그냥 특별히 기억에남을만큼 맛있진않은데 만두가 진짜맛있어요. 만두안시킨 테이블이없음... 와서 만두안먹으면 손해	1
무난한 맛을 보장하는곳.. 다만 주차편의시설이 가게뒷편이(병원주차장으로 주차불가) 아닌 30M위쪽으로 바꼈네요.. 주차잘하시고 맛있는외식 즐기세요.	1
만두가 샤오롱바오 처럼 맛남~ 모밀은 쏘쏘~ 우동은 별루~~ 가격은 대박~~	1
구수한 메밀국수와 만두가 일품인 집입니다.	1
정말맛있어여~~사장님,직원분들친절합니다.	1
메밀, 우동 둘다 약간 심심한 느낌? 자극적이지 않은 건 좋아요~ 만두가 특히 맛나네요.	1
김치우동은 짜지 않으면서 시원했고, 김치만두는 약간 매콤한 고기만두였습니다. 20대 중반으로 추정되는 홀 남성직원분들께서 친절, 신속, 정확, 쿨하심 등 서비스 마인드를 제대로 갖추셔서 입장하는 순간부터 퇴장하는 순간까지 내내 기분이 좋았습니다	1
신포동 청실홍실 만큼 맛있고 응대가 친절해요	1
메밀육수가 거진 다 거기서 거기인것같지만 그래도 내 입맛에 제일 잘 맞는 집. 판모밀에 육수는 다 먹고 더 부탁하면 더 주십니다. 항상 간 무 이빠이 파 적당히 끝! 그리고 통만두는 빠질 수 없음. 1인 한판은 시켜줘야됨. 맛있으니까.	1
엄청 맛있고 가성비가 죽죽 내리네요~~~~	1
그냥 인천쪽 오래 왔다가따하다 보면 여름되면 그냥 한반쯤은 들러야 되는 모밀집....그냥 노포.... 인천에 흔하디 흔한 노포..	0
만두랑 메밀국수 우동 이케 먹었는데 와... 존맛탱구리ㅠㅠ	1
확실히 지금보다 예전이 훨 좋았다고 생각됩니다. 본점으로 가야하나 앞으로 고민중... 주차는 병원 옆 주안주차장에 파킹. 19,000원 이상 지출에 한에서만 주차권 줍니다. 새우튀김우동만 있는건 아쉽네요.	0
신속하게 음식이 나왔고. 맛이 최고였다.	1
모밀비빔국수는 그냥그러네요^^	0
언제나 가도 맛있고 일하시는 분들도 잘해주세요.	1
인생 맛집	1
예전같지는 않아요.	0
여름은 필수 기타계절에는 생각나서 찾아가서 모밀을 먹습니다.	1
냉동만두가 해동시켜도 붙고 만두도 질퍽했어요	0
최고의 메밀소바였어요 만두도 정말맛있구요	1
예전에비해 퀄리티와 맛이떨어짐	0
만두도 맛나고 모밀도 맛나고..약간 짜긴함..우동은 그냥 우동맛..전체적으로 맛 다 괜찮은 편이고..친절했음	1
인천에서 유명한  맛집입니다  만두 모밀이  유명하지요~~	1
모밀과 만두 둘 다 최고	1
정말 맛있음. 냉모밀 따로 달라하지 말고 대접에 말아서 달라하면 물냉처럼 주는데...추천함. 만두역시 추천함.	1
그 뒤로 다시는 안 간다. 별별 식당에서 수많은 만두를 먹었지만 그런 꼬락서니는 처음이었고 그거 하나만 봐도 좋은식당은 아니라고 본다	0
깔끔하고 맛있어요. 특히 만두는 꼭 드시고 가시길	1
맛있어요!	1
맛없어요	0
만두는 최고인듯.. 서비스도 만점	1
난 별루던데.. 음식이 짠 편이고...	0
여기 닭강정은 일반적인 닭강정과는 살짝 다르다.... 끈적이는 점도? 그런게 더 강함 덕분에 식어도 꽤 맛있음.... 물론 직접 가서 뜨거울때 먹는게 베스트임	1
인천 중구에오시면 꼭 들려야하는 곳입니다. 신포닭강정 매콤 달달하니 정말 맛있어요 바삭하고 가성비 양도 많은 편이에요!	1
예전의 맛은 사라지고	0
동네 양념치킨과 별 다르지 않는 맛이었다.	0
맵고 뼈있고 딱딱하고...기다려서 먹은 보람이없네요	0
자주 가지만 그렇다고 자주 사먹진 않을 가격도 시장치고 굉장히 비싸쥬.	0
입구에서부터 냄새가 아주 좋았어요	1
왜 줄까지 서가면서 사는지 이해가 안가는 인천 토박이..	0
학창시절 맛 그대로...대기할 수 밖에 없는 맛	1
고등학생 때의 맛은 희미해지고 추억만 남았다	0
맛집으로 유명해서 방문했더니 줄이 어마어마했으며 장시간 기다려 먹어 본 결과 줄까지 서서 먹을 정도는 아니었습니다.	0
매콤한 맛이 일품인, 예전보다 양이 조금 줄어든듯해서 조금 슬프지만 맛은 여전히 최고	1
건강하거나 담백한 맛은 아니고 맵고 짜고 자극적인 맛이지만 계속 생각나고 맛있어요	1
닭강정가게들이 많아져서인지 예전만큼은 아닌듯해요	0
튀기는 기름도 오래되 보이고	0
딱히 맛있는지 모르겠더라규요...맛없지는 않은데 맛집인지는 모르겠어요	0
맛이 전에보다 별루 소스가 넘 믹믹하라고 할까요 매콤한 맛이 안남	0
왜 맛이 변한지 모르겠다	0
아...  원조랑 맛이 좀..  그럭저럭 먹을만한데 원조간판걸고 만드는 집중 최악입니다 양념도 많이 묽어요	0
진짜 여긴 믿고 걸러라	0
본점보다 뭔가 부족한......	0
쥐포처럼 딱딱하고 질겨서 맛이 없었어요.	0
양은 충분..맛은 있으나 다른 곳과의 큰차이는 못느끼겠음..그냥 줄서서 먹는 이유는 모르겠다. ㅠㅠ	0
그래도 이렇게 까지 사올 만한 곳인지는 조금 의구심이 든다.	0
전 양념을 좋아하지 않아 이해는 어렵더라구요	0
올리고당을 넣은건지 엄청 달고, 닭강정에 살은 정말 없다.	0
소문난집에 강정이맛있다	1
여윽시... 최애애애애고입니다 포장 줄이 긴데도 금방금방 줄어드네요	1
기대가 크면 실망도 커요	0
맛있다. 달달하고 매콤한 평소먹는 치킨과는 다른 맛이 있다!	1
예전언 안이랬는데 언제부턴가 너무튀겨서 질긴게 너무 많아	0
양이 너무 작은거 같은느낌..? 원래 이랬던건지 내 느낌이 그런건지.......... 쫌 실망이다	0
닭강정 중 최고의 맛과 양인것 같습니다.	1
오랜만에 맛있는 육개장을 먹었다.	1
별하나도아깝다 맛잇게매운게아니라 정말 화학적으로맵다.	0
고추가루을 많이 넣어서 유난히 빨간색이 찐하게 나는데 국물은 맵지 않고 자극적이지 않은 부드러운 맛이었음.	1
해장국은 돈내고 나오기가 아까울정도로 맛이 별로엿네요.다신 시간내서 찾아갈일은 없울거 같아요.	0
국내 최고의 육개장 맛집입니다.	1
너무 맛있게 해장할수있어요.얼큰한게 완전맛있고 매워서 좋아요.	1
조미료맛나지않고 억지부린 매운맛이 아니라 깔끔합니다.	1
매콤하고 맛이 깊어요. 빨리 나와서 좋습니다.	1
육계장 양도 적은데 공기밥 양은 다른곳보다 많이 작아서	0
진한 국물이 칼칼해서 괜찮아요	1
예전보다 깊은 맛이 떨어지지만 맛은 괜찮아요	1
입과 맛으로 소문난집 입니다	1
육개장을  포장해와서  먹었는데  여지껏  먹어본  육개장중  최악.	0
가끔 가는곳 ..점점 정 떨어진다	0
